unique_id,timestamp,y_pred,y_proba,query,model_version,runtime
813d8962-94b7-4825-8d52-45655c1e458c,1607427360.2759006,[183213.762],None,2018-01-05,0.1,000:00:42
4baa24dc-9555-4689-b5dd-e24da791dd53,1607427452.4463146,[183213.762],None,2018-01-05,0.1,000:00:47
5b54e34a-75e9-4c36-a515-9626ead0c8ab,1607428120.6963713,[1547.54333333],None,2018-01-05,0.1,000:00:45
31a16f32-78ff-4ddb-9515-1b593c1367f8,1607428296.867473,[183213.762],None,2018-01-05,0.1,000:00:43
5962c577-ecf9-4a17-80f0-fa63e73586c3,1607428493.9744077,[183213.762],None,2018-01-05,0.1,000:00:44
c9d555e2-eaca-4ad4-b3d9-aa2b33d4d8c6,1607428907.6713076,[183213.762],None,2018-01-05,0.1,000:00:41
38035b9f-7ac5-49fb-8fb1-59a992370170,1607428995.900364,[183213.762],None,2018-01-05,0.1,000:00:43
53063567-836c-4aa2-a015-20dc88c7c510,1607429696.044957,[183213.762],None,2018-01-05,0.1,000:00:45
145566f3-2616-47aa-bb54-40e36807eb71,1607429787.430718,[183213.762],None,2018-01-05,0.1,000:00:46
52e16c48-fa25-4aa8-8e50-3b18afe20b56,1607430082.2732377,[183213.762],None,2018-01-05,0.1,000:00:44
261254c1-bbfd-4c15-b385-0dfc7cbf280e,1607430179.702838,[183213.762],None,2018-01-05,0.1,000:00:46
86f40a8e-5b87-42f7-b0b3-7bbc13ae3596,1607430537.9634817,[183213.762],None,2018-01-05,0.1,000:00:48
fe65d1ff-55d8-4a53-984e-3d7399facfb2,1607430632.4136145,[183213.762],None,2018-01-05,0.1,000:00:49
8ea4078c-2d0f-48c0-9d2a-2d9e566f4397,1607431433.7409446,[183213.762],None,2018-01-05,0.1,000:00:44
90085e7a-4484-4bd6-9b3b-19063daaca6e,1607431510.9239018,[183213.762],None,2018-01-05,0.1,000:00:36
70c2cdb8-fda8-4268-8985-3e9152399e1a,1607431675.9995298,[183213.762],None,2018-01-05,0.1,000:00:36
a14d4741-f20b-4b37-92b2-67f077049676,1607431747.317833,[183213.762],None,2018-01-05,0.1,000:00:32
24438f60-325b-42c0-a64c-683995373b1d,1607674646.5276847,[184224.625],None,2018-01-05,0.1,000:00:41
c3b3eaa7-53a3-4689-89f1-c26934c83c80,1607674683.5637462,[184224.625],None,2018-01-05,0.1,000:00:37
67921676-bedd-4adc-8ff1-3d694513f475,1607674716.433824,[1442.825],None,2019-02-05,0.1,000:00:32
e1227399-3ead-48b0-ad8f-a741be2f4ad6,1607674757.3310797,[1817.8828],None,2018-12-05,0.1,000:00:40
e5fd6989-d765-4c05-98b5-fd8912188c45,1607695015.517909,[184224.625],None,2018-01-05,0.1,000:00:43
289e0b95-fe3d-472b-9958-e320bb0b10eb,1608115560.882034,[110823.93984],None,2017-12-08,0.1,000:01:57
4e7acfdd-47d4-4e07-a59f-2843806c7171,1608115657.7054865,[145182.1732],None,2018-04-30,0.1,000:01:36
ebce75ea-b2b1-4407-aed3-6668398c9a59,1608115751.3242805,[136577.04996],None,2018-04-04,0.1,000:01:33
b39aecf1-e01b-4f5f-9b2a-2e350e42470c,1608115848.061604,[147639.0052],None,2017-12-02,0.1,000:01:36
64b8b5a4-ab07-4806-8107-7fa2dcba8f69,1608115949.4950397,[237447.48548],None,2018-10-16,0.1,000:01:41
77758038-79ee-4244-9477-e3f7c2d8f95b,1608116055.200742,[299683.4138],None,2018-09-05,0.1,000:01:45
8d07b8c5-1b8b-4a6e-8227-ee2159d6423c,1608116157.9135838,[160554.31044],None,2019-03-19,0.1,000:01:42
9883abd5-4c31-4334-a4f7-ecdcc6af56a5,1608116240.6043518,[137120.9772],None,2018-12-17,0.1,000:01:22
29efa2c2-78f1-4434-bc10-852f46ea9465,1608116279.63926,[131926.5672],None,2019-02-01,0.1,000:00:39
08702e45-4108-46bb-9a15-7d3ec012fc22,1608116323.349916,[106097.92468],None,2018-06-24,0.1,000:00:43
c1bef61f-49a8-46a8-ac43-1b1c67cc44d2,1608116371.63444,[316162.50564],None,2018-09-14,0.1,000:00:48
34eb5ae0-dc89-48d5-ae52-dc753075725c,1608116426.5877476,[119486.89028],None,2018-03-30,0.1,000:00:54
52d87ae6-b4f6-48ab-bca6-79156094a6c1,1608116476.0319479,[148248.75144],None,2018-08-09,0.1,000:00:49
34166739-2dc6-4fff-9294-63ba53c4b713,1608116522.8586588,[110823.93984],None,2017-12-08,0.1,000:00:46
7fe5d5b3-513f-421a-b732-f2164a94ab22,1608116567.5300512,[154322.283],None,2019-03-23,0.1,000:00:44
d071161f-b477-40c1-a739-5c1a3f0c35b4,1608116609.1422212,[279436.46892],None,2018-09-21,0.1,000:00:41
56857b0b-4f5b-44a7-989d-f14a3d143130,1608116651.8438694,[193623.32644],None,2019-05-30,0.1,000:00:42
6c09165a-8741-42b0-a398-6d31f3e55d60,1608116693.488669,[258600.0792],None,2018-09-29,0.1,000:00:41
68993ffc-ed25-4d88-8ec8-b6ba6452c7b3,1608116735.1135163,[138382.071],None,2019-04-05,0.1,000:00:41
